# sha1,mapper,basic_or_none,font  basic+e=VG8020 basic+j=HB-10 none+e=C-BIOS none+j=C-BIOS JP
deaf7245b990dce6010235159ce226c939dc2d7d,MIRRORED,none,e
ded7907ed2894200806319a9cf7b13c7cf0d88d9,NONE,none,e
ded8d969542b7be02524037fa244e6648c3f4e03,PAGE2,basic,e
df07e89fa0b1c7874f9cdf184c136f964fea4ff4,NONE,none,e
df48902f5f12af8867ae1a87f255145f0e5e0774,NONE,none,e
df797593395346e94aa1cf13a9524e30d631888d,MIRRORED,none,j
dfd7ef6fd86efd5c8019b59d8fa5c5a47cf90cd0,PAGE2,basic,j
e002a9b426732e6c2d31e548c40cf7c122348ce3,NONE,none,e
e0c2bfb078562d15acabc5831020a2370ea87052,NONE,none,e
e0e99cd91e88ce2676445663f832c835d74d6fd4,NONE,none,e
e194d290ebfa4595ce0349ea2fc15442508485b0,NONE,none,e
e2655c64b1a068cd5b021d5ad62106e794d217b5,MIRRORED,none,e
e2fbd56e42da637609d23ae9df9efd1b4241b18a,NONE,none,e
e3391daab17710b3f34c70f60ac6c8bfea15b6cc,MIRRORED,none,e
e3a648118551a25329ac8a85249a529a5004e6ba,KONAMI_SCC,none,e
e49f66e8ba45d0647c93a57bbc1fb7aba4665a6e,NONE,basic,e
e6419519c2d3247ea395e4feaa494a2e23e469ce,ASCII8SRAM2,none,e
e6dba66c8716593b8ab88f79f7205211938d1598,NONE,none,e
e779c338eb91a7dea3ff75f3fde76b8af22c4a3a,NONE,none,e
e84d3ec7a595ee36b50e979683c84105c1871857,NONE,none,e
e89ea1e8e583392e2dd9debb8a4b6a162f58ba91,NONE,none,e
e8ab46785e75e19dac497c4a82ac2f5b37ac0580,ASCII16,none,e
e90f80a61d94c617850c415e12ad70ac41e66bb7,NONE,none,e
e93b8da1e8dddbb3742292b0e5e58731b90e9313,NONE,none,e
e998f0c441f4f1800ef44e42cd1659150206cf79,NONE,none,e
e9d7d74f71daeff173f9979cc51c0c4d4424bac2,NONE,none,e
ea35cc2cad9cfdf56cae224d8ee41579de37f000,NONE,none,e
ea6a82cf8c6e65eb30b98755c8577cde8d9186c0,NONE,none,e
ebb76f9061e875365023523607db610f2eda1d26,NONE,none,e
ebb7eb540a390509edfd36c84288ba85e63f2d1f,NONE,none,e
ebde4d61184438175db424fdf25cec238d91a15f,MIRRORED,none,j
ed2fea5c2a3c2e58d4f69f9d636e08574486a2b1,NONE,none,e
ed45cb0e9bd18a9d7bd74f87e620f016a7ae840f,NONE,none,e
ee9c6a073766bef2220a57372f5c0dbfc6e55c8c,NONE,none,e
eedb8e7fa7a3add746b76a87077b3af8c2fc07aa,NONE,none,e
